00:50:C2:C2:10:00/36	Private
00:50:C2:C2:20:00/36	Audient	Audient Ltd
00:50:C2:C2:30:00/36	Vidicon	Vidicon LLC
00:50:C2:C2:40:00/36	Qualneti	Qualnetics Corporation
00:50:C2:C2:50:00/36	Private
00:50:C2:C2:60:00/36	AustcoMa	Austco Marketing & Service (USA) ltd.
00:50:C2:C2:70:00/36	Qtechnol	Qtechnology A/S
00:50:C2:C2:80:00/36	ELREHA	ELREHA GmbH
00:50:C2:C2:90:00/36	NewtelEn	Newtel Engineering S.r.l.
00:50:C2:C2:A0:00/36	RealTime	RealTime Systems Ltd
00:50:C2:C2:B0:00/36	Z-App	Z-App Systems, Inc.
00:50:C2:C2:C0:00/36	bach-mes	bach-messtechnik gmbh
00:50:C2:C2:D0:00/36	Digitale	Digitale Analoge COMponenten West Electronic Vertriebs GmbH
00:50:C2:C2:E0:00/36	Dismunte	Dismuntel Sal
00:50:C2:C2:F0:00/36	ReflexCe	Reflex Ces
00:50:C2:C3:00:00/36	WagnerGr	Wagner Group GmbH
00:50:C2:C3:10:00/36	4DTechno	4D Technology Corporation
00:50:C2:C3:20:00/36	ProconEl	Procon Electronics
00:50:C2:C3:40:00/36	Kyuhen
00:50:C2:C3:50:00/36	Insitu	Insitu, Inc
00:50:C2:C3:60:00/36	SET	SET GmbH
00:50:C2:C3:70:00/36	BEARSolu	B.E.A.R. Solutions (Australasia) Pty, Ltd
00:50:C2:C3:80:00/36	Computer	Computer Automation Technology Inc
00:50:C2:C3:90:00/36	Secad	Secad Sa
00:50:C2:C3:A0:00/36	Sicon	Sicon srl
00:50:C2:C3:B0:00/36	ELEKTRO-	ELEKTRO-AUTOMATIK GmbH & Co. KG
00:50:C2:C3:C0:00/36	ELSIST	ELSIST S.r.l.
00:50:C2:C3:D0:00/36	PlaElect	Pla Electro Appliances Pvt. Ltd.
00:50:C2:C3:E0:00/36	Sysacom
00:50:C2:C3:F0:00/36	ANXeBusi	ANXeBusiness Corporation
00:50:C2:C4:00:00/36	BAEBofor	BAE Systems Bofors AB
00:50:C2:C4:10:00/36	COMPRION	COMPRION GmbH
00:50:C2:C4:20:00/36	Saia-Bur	Saia-Burgess Controls AG
00:50:C2:C4:30:00/36	Cammegh	Cammegh Limited
00:50:C2:C4:40:00/36	BeijingZ	Beijing Zhongherongzhi Elec.&Tech.Co.,Ltd.
00:50:C2:C4:50:00/36	Galvamat	Galvamat & Unican Technologies SA
00:50:C2:C4:60:00/36	QNE	QNE GmbH & Co. KG
00:50:C2:C4:70:00/36	WeltekTe	Weltek Technologies Co. Ltd.
00:50:C2:C4:80:00/36	CytekMed	Cytek Media Systems, INC.
00:50:C2:C4:90:00/36	Elektron	Elektronic Thoma GmbH
00:50:C2:C4:A0:00/36	HerrickT	Herrick Technology Laboratories, Inc.
00:50:C2:C4:B0:00/36	RVRelett	R.V.R. elettronica s.p.a.
00:50:C2:C4:C0:00/36	LancierM	Lancier Monitoring GmbH
00:50:C2:C4:D0:00/36	Industri	Industrial Automation Systems
00:50:C2:C4:E0:00/36	Elaso	Elaso AG
00:50:C2:C4:F0:00/36	Powersen	Powersense A/S
00:50:C2:C5:00:00/36	BeceemCo	Beceem Communications, Inc.
00:50:C2:C5:10:00/36	InForceC	InForce Computing, Inc.
00:50:C2:C5:20:00/36	Smartfie	Smartfield, Inc.
00:50:C2:C5:30:00/36	Eilersen	Eilersen Electric A/S
00:50:C2:C5:40:00/36	HPCPlatf	HPC Platform
00:50:C2:C5:50:00/36	Watterot	Watterott electronic
00:50:C2:C5:60:00/36	SpirentC	Spirent Communications
00:50:C2:C5:70:00/36	HighSpee	High Speed Design, Inc.
00:50:C2:C5:80:00/36	Foerster	Foerster-Technik GmbH
00:50:C2:C5:90:00/36	SKDSyste	SKD System AB
00:50:C2:C5:A0:00/36	Commotiv	Commotive A/S
00:50:C2:C5:B0:00/36	MicroTec	Micro Technica
00:50:C2:C5:C0:00/36	WavecomE	Wavecom Elektronik Ag
00:50:C2:C5:D0:00/36	SweMet	SweMet AB
00:50:C2:C5:E0:00/36	CellPlus	CellPlus technologies, Inc.
00:50:C2:C5:F0:00/36	IconTime	Icon Time Systems
00:50:C2:C6:00:00/36	Integrat	Integration Technologies Limited
00:50:C2:C6:10:00/36	HaiVisio	HaiVision Systems Incorporated
00:50:C2:C6:20:00/36	ZeusPriv	Zeus Systems Private Limited
00:50:C2:C6:30:00/36	PotterEl	Potter Electric Signal Co. LLC
00:50:C2:C6:40:00/36	PalSoftw	Pal Software Service Co.,Ltd.
00:50:C2:C6:50:00/36	MicroIOS	Micro I/O Servicos de Electronica, Lda
00:50:C2:C6:60:00/36	KSBescha	KS Beschallungstechnik GmbH
00:50:C2:C6:70:00/36	Practica	Practical Control Ltd
00:50:C2:C6:80:00/36	Broadsof	Broadsoft PacketSmart, Inc.
00:50:C2:C6:90:00/36	Rebo	Rebo Co.,Ltd.
00:50:C2:C6:A0:00/36	Electron	Electronica Keld
00:50:C2:C6:B0:00/36	SiGarden	SiGarden Sp z o.o.
00:50:C2:C6:C0:00/36	DorletSa	Dorlet Sau
00:50:C2:C6:D0:00/36	Deansoft	Deansoft CO., Ltd.
00:50:C2:C6:E0:00/36	TBS	TBS Holding AG
00:50:C2:C6:F0:00/36	MSBElekt	MSB Elektronik und Geraetebau GmbH
00:50:C2:C7:00:00/36	WilkeTec	Wilke Technology GmbH
00:50:C2:C7:10:00/36	SequoiaT	Sequoia Technology Group Ltd
00:50:C2:C7:20:00/36	Quail
00:50:C2:C7:30:00/36	Industry	Industry Controls, Inc.
00:50:C2:C7:40:00/36	Wapice	Wapice Ltd.
00:50:C2:C7:50:00/36	Rovsing	Rovsing A/S
00:50:C2:C7:60:00/36	GridMana	GridManager A/S
00:50:C2:C7:70:00/36	AIM	AIM Co.,Ltd
00:50:C2:C7:80:00/36	9Solutio	9Solutions Oy
00:50:C2:C7:90:00/36	CODESYST	CODESYSTEM Co.,Ltd
00:50:C2:C7:A0:00/36	Protonic	Protonic Holland
00:50:C2:C7:B0:00/36	Honeywel	Honeywell
00:50:C2:C7:C0:00/36	Keysight	Keysight Technologies Inc.
00:50:C2:C7:D0:00/36	TAEAntri	TAE Antriebstechnik GmbH
00:50:C2:C7:E0:00/36	Buerkert	Buerkert Werke GmbH
00:50:C2:C7:F0:00/36	KinectsS	Kinects Solutions Inc
00:50:C2:C8:00:00/36	Reko-vek
00:50:C2:C8:10:00/36	OdysseeS	Odyssee Systemes SAS
00:50:C2:C8:20:00/36	KyoshaIn	Kyosha Industries
00:50:C2:C8:30:00/36	Gronic	Gronic Systems GmbH
00:50:C2:C8:40:00/36	Domis
00:50:C2:C8:50:00/36	PeekTraf	Peek Traffic Corporation
00:50:C2:C8:60:00/36	Bruckner	Bruckner & Jarosch Ingenieurgesellschaft mbH
00:50:C2:C8:70:00/36	LECO	LECO Corporation
00:50:C2:C8:80:00/36	CSIContr	CSI Controles e Sistemas Industriais Ltda.
00:50:C2:C8:90:00/36	Creative	Creative Micro Design
00:50:C2:C8:A0:00/36	Automate	Automated Media Services, Inc.
00:50:C2:C8:B0:00/36	OcasAs	Ocas As
00:50:C2:C8:C0:00/36	LanmarkC	Lanmark Controls Inc.
00:50:C2:C8:D0:00/36	Emergenc	Emergency Message Controls LLC
00:50:C2:C8:E0:00/36	SddItg	Sdd Itg
00:50:C2:C8:F0:00/36	KeithKoe	Keith & Koep GmbH
00:50:C2:C9:00:00/36	RealD	RealD, Inc.
00:50:C2:C9:10:00/36	MediaTec	Media Technologies Ltd.
00:50:C2:C9:20:00/36	EMAC	EMAC, Inc.
00:50:C2:C9:30:00/36	SENSAIR	SENSAIR Pty Ltd
00:50:C2:C9:40:00/36	IsisEngi	Isis Engineering, S.A.
00:50:C2:C9:50:00/36	IPSES	IPSES S.r.l.
00:50:C2:C9:60:00/36	CyberCra	CyberCraft
00:50:C2:C9:70:00/36	Mstronic	Mstronic Co., Ltd.
00:50:C2:C9:80:00/36	Criticar	Criticare Systems, Inc
00:50:C2:C9:90:00/36	HJPCdbaP	HJPC Corporation dba Pactron
00:50:C2:C9:A0:00/36	PACOMPSp	PACOMP Sp. z o.o.
00:50:C2:C9:B0:00/36	Smelectr	Sm electronic co.
00:50:C2:C9:C0:00/36	Saia-Bur	Saia-Burgess Controls AG
00:50:C2:C9:D0:00/36	RadiusSw	Radius Sweden AB
00:50:C2:C9:E0:00/36	Rohde&Sc	Rohde&Schwarz Topex SA
00:50:C2:C9:F0:00/36	xxter	xxter b.v.
00:50:C2:CA:00:00/36	Kieferte	Kiefer technic GmbH
00:50:C2:CA:10:00/36	WayneKer	Wayne Kerr Electronics
00:50:C2:CA:20:00/36	Logical	The Logical Company
00:50:C2:CA:30:00/36	CT	CT Company
00:50:C2:CA:40:00/36	VoxTechn	Vox Technologies
00:50:C2:CA:50:00/36	Yokowo	Yokowo Co.,Ltd
00:50:C2:CA:60:00/36	Vidisys	Vidisys GmbH
00:50:C2:CA:70:00/36	ThermoFi	Thermo Fisher Scientific
00:50:C2:CA:80:00/36	WithInte	Systems With Intelligence Inc.
00:50:C2:CA:90:00/36	Intellig	Intelligent Devices
00:50:C2:CA:A0:00/36	DspDesig	Dsp Design Ltd
00:50:C2:CA:B0:00/36	SAEIT	SAE IT-systems GmbH & Co. KG
00:50:C2:CA:C0:00/36	PURVIS	PURVIS Systems Incorporated
00:50:C2:CA:D0:00/36	PacificC	Pacific Coast Engineering
00:50:C2:CA:E0:00/36	Campbell	Campbell Scientific Canada Corp.
00:50:C2:CA:F0:00/36	FrSauter	Fr. Sauter AG
00:50:C2:CB:00:00/36	Konsmeta	Konsmetal S.A.
00:50:C2:CB:10:00/36	ZKCellte	ZK Celltest Inc
00:50:C2:CB:20:00/36	Moravian	Moravian Instruments
00:50:C2:CB:30:00/36	DEUTA-WE	DEUTA-WERKE GmbH
00:50:C2:CB:40:00/36	GEAFarmT	GEA Farm Technologies GmbH
00:50:C2:CB:50:00/36	Private
00:50:C2:CB:60:00/36	Krontek	Krontek Pty Ltd
00:50:C2:CB:70:00/36	inotech	inotech GmbH
00:50:C2:CB:80:00/36	Raith	Raith GmbH
00:50:C2:CB:90:00/36	MicroTec	Micro Technic A/S
00:50:C2:CB:A0:00/36	DeltaTau	Delta Tau Data Systems, Inc.
00:50:C2:CB:B0:00/36	Coptonix	Coptonix GmbH
00:50:C2:CB:C0:00/36	CpEletro	Cp Eletronica Sa
00:50:C2:CB:D0:00/36	HiTechEl	Hi Tech Electronics Ltd
00:50:C2:CB:E0:00/36	CodeBlue	Code Blue Corporation
00:50:C2:CB:F0:00/36	Megacon	Megacon AB
00:50:C2:CC:00:00/36	WorldTim	World Time Solutions Limited
00:50:C2:CC:10:00/36	Level3Co	Level 3 Communications
00:50:C2:CC:20:00/36	ConectaI	ConectaIP Tecnologia S.L.
00:50:C2:CC:30:00/36	viscount	viscount systems inc.
00:50:C2:CC:40:00/36	GDMissio	GD Mission Systems
00:50:C2:CC:50:00/36	Tecnovum	Tecnovum AG
00:50:C2:CC:60:00/36	Kdt
00:50:C2:CC:70:00/36	TOPROOTT	TOPROOTTechnology Corp. Ltd.
00:50:C2:CC:80:00/36	Private
00:50:C2:CC:90:00/36	Promess	Promess GmbH
00:50:C2:CC:A0:00/36	SanminaS	Sanmina Shenzhen
00:50:C2:CC:B0:00/36	CaptiveA	CaptiveAire Systems Inc.
00:50:C2:CC:C0:00/36	Smartech	Smartech-technology
00:50:C2:CC:D0:00/36	FUJIDATA	FUJI DATA SYSTEM Co.,Ltd.
00:50:C2:CC:E0:00/36	Mac-Gray	Mac-Gray Corporation
00:50:C2:CC:F0:00/36	TaskSist	Task Sistemas De Computacao Ltda
00:50:C2:CD:00:00/36	MMEMuell	MME Mueller Mikroelektronik
00:50:C2:CD:10:00/36	ACDElekt	ACD Elektronik GmbH
00:50:C2:CD:20:00/36	SIM2Mult	SIM2 Multimedia S.p.A.
00:50:C2:CD:30:00/36	Covidenc	Covidence A/S
00:50:C2:CD:40:00/36	SCHRAML	SCHRAML GmbH
00:50:C2:CD:50:00/36	ArcosTec	Arcos Technologies Ltd.
00:50:C2:CD:60:00/36	Arktan	Arktan Systems
00:50:C2:CD:70:00/36	Saia-Bur	Saia-Burgess Controls AG
00:50:C2:CD:80:00/36	IT-ISInt	IT-IS International Ltd.
00:50:C2:CD:90:00/36	NDCInfra	NDC Infrared Engineering, Inc.
00:50:C2:CD:A0:00/36	taskit	taskit GmbH
00:50:C2:CD:B0:00/36	Rutter	Rutter Inc
00:50:C2:CD:C0:00/36	ABBTrans	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
00:50:C2:CD:D0:00/36	KCCShoka	K.C.C. Shokai Limited
00:50:C2:CD:E0:00/36	AxotecTe	Axotec Technologies GmbH
00:50:C2:CD:F0:00/36	CoreELTE	CoreEL TEchnologies (I) Pvt Ltd
00:50:C2:CE:00:00/36	Industri	Industrial Control Links, Inc.
00:50:C2:CE:10:00/36	Satellin	Satellink Inc.
00:50:C2:CE:20:00/36	Sicon	Sicon srl
00:50:C2:CE:30:00/36	Industri	Industrial Automatics Design Bureau
00:50:C2:CE:40:00/36	Tektroni	Tektronik
00:50:C2:CE:50:00/36	Maretron	Maretron, LLP
00:50:C2:CE:60:00/36	AplicaTe	Aplica Technologies
00:50:C2:CE:70:00/36	Echola	Echola Systems
00:50:C2:CE:80:00/36	ThomasBe	Thomas & Betts
00:50:C2:CE:90:00/36	Private
00:50:C2:CE:A0:00/36	KeithKoe	Keith & Koep GmbH
00:50:C2:CE:B0:00/36	ToyonRes	Toyon Research Corporation
00:50:C2:CE:C0:00/36	Erhardt+	Erhardt+Leimer GmbH
00:50:C2:CE:D0:00/36	AeroMech	AeroMechanical Services Ltd, FLYHT
00:50:C2:CE:E0:00/36	Embed-It	Embed-It Og
00:50:C2:CE:F0:00/36	Lupatecn	Lupatecnologia e Sistemas Ltda
00:50:C2:CF:00:00/36	Inviso	Inviso B.V.
00:50:C2:CF:10:00/36	TelGaAs	TelGaAs, Inc.
00:50:C2:CF:20:00/36	WeissRob	Weiss Robotics GmbH & Co. KG
00:50:C2:CF:30:00/36	DaikenAu	Daiken Automacao Ltda
00:50:C2:CF:40:00/36	Baudisch	Baudisch Electronic GmbH
00:50:C2:CF:50:00/36	GogoBA	Gogo BA
00:50:C2:CF:60:00/36	Epec	Epec Oy
00:50:C2:CF:70:00/36	ArmourHo	Armour Home Electronics LTD
00:50:C2:CF:80:00/36	beksKomm	beks Kommunikacios Technika kft
00:50:C2:CF:90:00/36	ElbitAme	Elbit Systems of America
00:50:C2:CF:A0:00/36	GrupoEpe	Grupo Epelsa S.L.
00:50:C2:CF:B0:00/36	NewEmbed	New Embedded Technology
00:50:C2:CF:C0:00/36	Tritium	Tritium Pty Ltd
00:50:C2:CF:D0:00/36	Airfolc	Airfolc,Inc.
00:50:C2:CF:E0:00/36	Techlead	Techleader
00:50:C2:CF:F0:00/36	Infrasaf	Infrasafe, Inc.
00:50:C2:D0:00:00/36	Bodensee	Bodensee Gravitymeter Geosystem GmbH
00:50:C2:D0:10:00/36	Aanderaa	Aanderaa Data Instruments
00:50:C2:D0:20:00/36	Survalen	Survalent Technology Corp
00:50:C2:D0:30:00/36	PeekelIn	Peekel Instruments B.V.
00:50:C2:D0:40:00/36	TehamaWi	Tehama Wireless
00:50:C2:D0:60:00/36	nCkResea	nCk Research LLC
00:50:C2:D0:70:00/36	IAF	IAF GmbH
00:50:C2:D0:80:00/36	Reimesch	Reimesch Kommunikationssysteme GmbH
00:50:C2:D0:90:00/36	Guardtec	Guardtec,Inc
00:50:C2:D0:A0:00/36	Airpoint	Airpoint Co., Ltd.
00:50:C2:D0:B0:00/36	CODACOEL	CODACO ELECTRONIC s.r.o.
00:50:C2:D0:C0:00/36	JVLIndus	JVL Industri Elektronik
00:50:C2:D0:D0:00/36	DECACard	DECA Card Engineering GmbH
00:50:C2:D0:E0:00/36	WeinertE	Weinert Engineering GmbH
00:50:C2:D0:F0:00/36	Saia-Bur	Saia-Burgess Controls AG
00:50:C2:D1:00:00/36	Rosslare	Rosslare Enterprises Ltd.
00:50:C2:D1:10:00/36	AplexTec	Aplex Technology Inc.
00:50:C2:D1:20:00/36	TokyoWel	Tokyo Weld Co.,Ltd.
00:50:C2:D1:30:00/36	GunmaEle	Gunma Electronics Co Ltd
00:50:C2:D1:40:00/36	SaetIS	Saet I.S.
00:50:C2:D1:50:00/36	MSR-Offi	MSR-Office GmbH
00:50:C2:D1:60:00/36	ImricorM	Imricor Medical Systems, Inc.
00:50:C2:D1:70:00/36	CUE	CUE, a.s.
00:50:C2:D1:80:00/36	Glyn	Glyn GmbH & Co.KG
00:50:C2:D1:90:00/36	AppliedM	Applied Medical Technologies, Inc DBA AirClean Systems
00:50:C2:D1:A0:00/36	Gillam-F	Gillam-Fei S.A.
00:50:C2:D1:B0:00/36	TECHKON	TECHKON GmbH
00:50:C2:D1:C0:00/36	ReconDyn	Recon Dynamics, LLC
00:50:C2:D1:D0:00/36	MocoMedi	Moco Media Pty Ltd
00:50:C2:D1:E0:00/36	Tobila	Tobila Systems, Inc.
00:50:C2:D1:F0:00/36	OlympusN	Olympus NDT Canada Inc.
00:50:C2:D2:00:00/36	7+Kft	7+ Kft
00:50:C2:D2:10:00/36	Innovati	Innovative Circuit Technology
00:50:C2:D2:20:00/36	eMDeeTec	eMDee Technology, Inc.
00:50:C2:D2:30:00/36	Blueston	Bluestone Technology GmbH
00:50:C2:D2:40:00/36	ExproNor	Expro North Sea
00:50:C2:D2:50:00/36	VAFInstr	VAF Instruments BV
00:50:C2:D2:60:00/36	RchGroup	Rch Group
00:50:C2:D2:70:00/36	FrSauter	Fr.Sauter AG
00:50:C2:D2:80:00/36	Digitale	Digitale Analoge COMponenten West Electronic Vertriebs GmbH
00:50:C2:D2:90:00/36	AxibleTe	Axible Technologies
00:50:C2:D2:A0:00/36	Millenni	Millennium Electronics Pty.Ltd.
00:50:C2:D2:B0:00/36	VideoTec	Video Tech Laboratories, Inc.
00:50:C2:D2:C0:00/36	Schneide	Schneider Electric Motion USA
00:50:C2:D2:D0:00/36	CadiScie	Cadi Scientific Pte Ltd
00:50:C2:D2:E0:00/36	RSGesell	RS Gesellschaft fur Informationstechnik mbH & Co KG
00:50:C2:D2:F0:00/36	Key	Key Systems, Inc.
00:50:C2:D3:00:00/36	ACTIVFin	ACTIV Financial Systems, Inc.
00:50:C2:D3:10:00/36	UNGAVATe	UNGAVA Technologies Inc.
00:50:C2:D3:20:00/36	RealTime	RealTime Systems Ltd
00:50:C2:D3:30:00/36	Maddalen	Maddalena S.p.A
00:50:C2:D3:40:00/36	GAONTECH	GAON TECH corp.
00:50:C2:D3:50:00/36	UG	UG Systems GmbH & Co. KG
00:50:C2:D3:60:00/36	Enatel	Enatel Limited
00:50:C2:D3:70:00/36	LJTAssoc	LJT & Associates, Inc.
00:50:C2:D3:80:00/36	KyowaEle	Kyowa Electronics Co.,Ltd.
00:50:C2:D3:90:00/36	Apex	Apex NV
00:50:C2:D3:A0:00/36	WellSens	WellSense Technologies
00:50:C2:D3:B0:00/36	Gitsn	Gitsn Inc.
00:50:C2:D3:C0:00/36	ASSYSTEM	ASSYSTEM France
00:50:C2:D3:D0:00/36	TellabsO	Tellabs Operations Inc.
00:50:C2:D3:E0:00/36	SynatecE	Synatec Electronic GmbH
00:50:C2:D3:F0:00/36	Communic	Communication Systems Solutions
00:50:C2:D4:00:00/36	demmelpr	demmel products
00:50:C2:D4:10:00/36	AreaEner	Area Energy, Inc.
00:50:C2:D4:20:00/36	HagenukK	Hagenuk KMT GmbH
00:50:C2:D4:30:00/36	DSP4YOU	DSP4YOU LTd
00:50:C2:D4:40:00/36	Saia-Bur	Saia-Burgess Controls AG
00:50:C2:D4:50:00/36	Technago	Technagon GmbH
00:50:C2:D4:60:00/36	ThalesNe	Thales Nederland BV
00:50:C2:D4:70:00/36	Rohde&Sc	Rohde&Schwarz Topex SA
00:50:C2:D4:80:00/36	Watermar	Watermark Estate Management Services, LLC
00:50:C2:D4:90:00/36	SmithMet	Smith Meter, Inc
00:50:C2:D4:A0:00/36	ATHsyste	ATH system
00:50:C2:D4:B0:00/36	IndraAus	Indra Australia
00:50:C2:D4:C0:00/36	DALOGDia	DALOG Diagnosesysteme GmbH
00:50:C2:D4:D0:00/36	YardneyT	Yardney Technical Products Inc.
00:50:C2:D4:E0:00/36	KeithKoe	Keith & Koep GmbH
00:50:C2:D4:F0:00/36	SECOM	SECOM GmbH
00:50:C2:D5:00:00/36	SolbrigE	Solbrig Electronics, Inc.
00:50:C2:D5:10:00/36	Bettini	Bettini Srl
00:50:C2:D5:20:00/36	F+DFeinw	F+D Feinwerk- und Drucktechnik GmbH
00:50:C2:D5:30:00/36	Telemerk	Telemerkki Oy
00:50:C2:D5:40:00/36	ABtrack	ABtrack s.r.l.
00:50:C2:D5:50:00/36	SternaSe	Sterna Security
00:50:C2:D5:60:00/36	SELEXCom	SELEX Communications Limited
00:50:C2:D5:70:00/36	Hijikata	Hijikata Denki Corp.
00:50:C2:D5:80:00/36	NIK-ELEK	NIK-ELEKTRONIKA Ltd
00:50:C2:D5:90:00/36	BuancoSy	Buanco System A/S
00:50:C2:D5:A0:00/36	Embedded	Embedded Monitoring Systems Ltd.
00:50:C2:D5:B0:00/36	Infiniti	Infinition Inc.
00:50:C2:D5:C0:00/36	IbetorSL	Ibetor S.L.
00:50:C2:D5:D0:00/36	Globalco	Globalcom Engineering Srl
00:50:C2:D5:E0:00/36	PRIVATEC	PRIVATECH Inc.
00:50:C2:D5:F0:00/36	Embedded	Embedded Solution Bank Co., Ltd.
00:50:C2:D6:00:00/36	NihonKes	Nihon Kessho Koogaku Co., Ltd.
00:50:C2:D6:10:00/36	system2	system2 GmbH
00:50:C2:D6:20:00/36	EMAC	EMAC, Inc.
00:50:C2:D6:30:00/36	Dataregi	Dataregis S.A.
00:50:C2:D6:40:00/36	TV1	TV1 GmbH
00:50:C2:D6:50:00/36	TXTechno	TX Technology Corp
00:50:C2:D6:60:00/36	UvaxConc	Uvax Concepts
00:50:C2:D6:70:00/36	KLINGFRE	KLING & FREITAG GmbH
00:50:C2:D6:80:00/36	HiSpeedD	HiSpeed Data, Inc.
00:50:C2:D6:90:00/36	GHLBhd	GHL Systems Bhd
00:50:C2:D6:A0:00/36	A&TElect	A&T Corporation, Electrics Group , LAS R&D Unit,
00:50:C2:D6:B0:00/36	NemecAut	Nemec Automation
00:50:C2:D6:C0:00/36	ALPHA	ALPHA Corporation
00:50:C2:D6:D0:00/36	Pro-Digi	Pro-Digital Industria Eletronica
00:50:C2:D6:E0:00/36	BCIllumi	BC Illumination, Inc.
00:50:C2:D6:F0:00/36	ImtronMe	Imtron Messtechnik GmbH
00:50:C2:D7:00:00/36	CRobHamm	C. Rob. Hammerstein GmbH & Co. KG
00:50:C2:D7:10:00/36	EMAC	EMAC, Inc.
00:50:C2:D7:20:00/36	Scale-Tr	Scale-Tron, Inc.
00:50:C2:D7:30:00/36	Saia-Bur	Saia-Burgess Controls AG
00:50:C2:D7:40:00/36	Computec	Computech International
00:50:C2:D7:50:00/36	Collectr	Collectric AB
00:50:C2:D7:60:00/36	Telvent
00:50:C2:D7:70:00/36	FrSauter	Fr.SauterAG
00:50:C2:D7:80:00/36	P4QElect	P4Q Electronics
00:50:C2:D7:90:00/36	DSIRF	DSI RF Systems, Inc.
00:50:C2:D7:A0:00/36	Transbit	Transbit Sp. z o.o.
00:50:C2:D7:B0:00/36	OWITA	OWITA GmbH
00:50:C2:D7:C0:00/36	Microcub	Microcubs Systems Pvt Ltd
00:50:C2:D7:D0:00/36	VoltechI	Voltech Instruments
00:50:C2:D7:E0:00/36	LYNXTech	LYNX Technik AG
00:50:C2:D7:F0:00/36	HMITechn	HMI Technologies
00:50:C2:D8:00:00/36	KeithKoe	Keith & Koep GmbH
00:50:C2:D8:10:00/36	Tattile	Tattile srl
00:50:C2:D8:20:00/36	AudioAut	Audio Authority Corp
00:50:C2:D8:30:00/36	Blankom
00:50:C2:D8:40:00/36	ABBTrans	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
00:50:C2:D8:50:00/36	Vitec
00:50:C2:D8:60:00/36	EcommEra	Ecomm Era
00:50:C2:D8:70:00/36	Electrol	Electrolight Shivuk (1994) Ltd.
00:50:C2:D8:80:00/36	T+Aelekt	T+A elektroakustik GmbH & Co.KG
00:50:C2:D8:90:00/36	VisualTe	Visual Telecommunication Network, Inc
00:50:C2:D8:A0:00/36	OptoLink	OptoLink Industria e Comercio Ltda
00:50:C2:D8:B0:00/36	Sicon	Sicon srl
00:50:C2:D8:C0:00/36	iRphoton	iRphotonics
00:50:C2:D8:D0:00/36	CS-Instr	CS-Instruments
00:50:C2:D8:E0:00/36	LSDScien	LSD Science&Technology Co.,Ltd.
00:50:C2:D8:F0:00/36	Syes	Syes srl
00:50:C2:D9:00:00/36	DumpsEle	Dumps Electronic
00:50:C2:D9:10:00/36	ChauvinA	Chauvin Arnoux
00:50:C2:D9:20:00/36	Manz
00:50:C2:D9:30:00/36	Axlon	Axlon AB
00:50:C2:D9:40:00/36	Software	Software Effect Enterprises, Inc
00:50:C2:D9:50:00/36	Honeywel	Honeywell
00:50:C2:D9:60:00/36	CONTEC	CONTEC GmbH
00:50:C2:D9:70:00/36	ERSelect	ERS electronic GmbH
00:50:C2:D9:80:00/36	RongShun	Rong Shun Xuan Corp.
00:50:C2:D9:90:00/36	T-Indust	T-Industry, s.r.o.
00:50:C2:D9:A0:00/36	Saia-Bur	Saia-Burgess Controls AG
00:50:C2:D9:B0:00/36	Intuitiv	Intuitive Surgical, Inc
00:50:C2:D9:C0:00/36	GamberJo	Gamber Johnson LLC
00:50:C2:D9:D0:00/36	MistralS	Mistral Solutions Pvt. Ltd
00:50:C2:D9:E0:00/36	Vocality	Vocality International Ltd
00:50:C2:D9:F0:00/36	BitWiseC	BitWise Controls
00:50:C2:DA:00:00/36	Precisio	Precision Remotes
00:50:C2:DA:10:00/36	MangoDSP
00:50:C2:DA:20:00/36	metraTec	metraTec GmbH
00:50:C2:DA:30:00/36	GDMissio	GD Mission Systems
00:50:C2:DA:40:00/36	DEUTA-WE	DEUTA-WERKE GmbH
00:50:C2:DA:50:00/36	megatece	megatec electronic GmbH
00:50:C2:DA:60:00/36	Manitowo	Manitowoc Ice
00:50:C2:DA:70:00/36	Capton
00:50:C2:DA:80:00/36	Sine	Sine Systems, Inc.
00:50:C2:DA:90:00/36	TielineR	Tieline Research Pty Ltd
00:50:C2:DA:A0:00/36	MPaul	M & Paul, Inc
00:50:C2:DA:B0:00/36	AplexTec	Aplex Technology Inc.
00:50:C2:DA:C0:00/36	RFLElect	RFL Electronics, Inc.
00:50:C2:DA:D0:00/36	KeithKoe	Keith & Koep GmbH
00:50:C2:DA:E0:00/36	SpangPow	Spang Power Electronics
00:50:C2:DA:F0:00/36	eumigind	eumig industrie-tv GmbH
00:50:C2:DB:00:00/36	IMAGOTec	IMAGO Technologies GmbH
00:50:C2:DB:10:00/36	RFCode	RF Code, Inc
00:50:C2:DB:20:00/36	Software	SoftwareCannery
00:50:C2:DB:30:00/36	LaudaDrR	Lauda Dr. R. Wobser Gmbh & Co. Kg
00:50:C2:DB:40:00/36	NPCKompj	ZAO NPC "Kompjuternie Technologii"
00:50:C2:DB:50:00/36	DspDesig	Dsp Design Ltd
00:50:C2:DB:60:00/36	Prosoft	Prosoft-Systems Ltd
00:50:C2:DB:70:00/36	SORELMik	SOREL GmbH Mikroelektronik
00:50:C2:DB:80:00/36	ComsatVe	Comsat VertriebsgmbH
00:50:C2:DB:90:00/36	PeekTraf	Peek Traffic Corporation
