00:50:C2:19:40:00/36	Cominfo	Cominfo, Inc.
00:50:C2:19:50:00/36	Momentum	Momentum Data Systems
00:50:C2:19:60:00/36	Netsynt	Netsynt Spa
00:50:C2:19:70:00/36	EPMTecno	EPM Tecnologia e Equipamentos
00:50:C2:19:80:00/36	PotsTek	PotsTek, Inc
00:50:C2:19:90:00/36	Survalen	Survalent Technology Corporation
00:50:C2:19:A0:00/36	AzioTech	Azio Technology Co.
00:50:C2:19:B0:00/36	Wilcoxon	Wilcoxon Research, Inc.
00:50:C2:19:C0:00/36	ArtecDes	Artec Design
00:50:C2:19:D0:00/36	Electrex	Electrex S.R.L
00:50:C2:19:E0:00/36	Paltroni	Paltronics, Inc.
00:50:C2:19:F0:00/36	Fleetwoo	Fleetwood Electronics Ltd
00:50:C2:1A:00:00/36	SCAData	SCA Data Systems
00:50:C2:1A:10:00/36	Portalpl	Portalplayer, Inc
00:50:C2:1A:20:00/36	ABBSwitz	ABB Switzerland Inc
00:50:C2:1A:30:00/36	TidelEng	Tidel Engineering, L.P.
00:50:C2:1A:40:00/36	ProtechO	Protech Optronics Co. Ltd.
00:50:C2:1A:50:00/36	Norco
00:50:C2:1A:60:00/36	RFCode	RF Code
00:50:C2:1A:70:00/36	AlphaBet	Alpha Beta Technologies, Inc.
00:50:C2:1A:80:00/36	AnovaBro	Anova Broadband
00:50:C2:1A:90:00/36	AxotecTe	Axotec Technologies GmbH
00:50:C2:1A:A0:00/36	BitBox	BitBox Ltd
00:50:C2:1A:B0:00/36	Streamin	Streaming Networks
00:50:C2:1A:C0:00/36	Beckmann	Beckmann+Egle GmbH
00:50:C2:1A:D0:00/36	Remiasro	Remia s.r.o.
00:50:C2:1A:E0:00/36	HomeDire	Home Director, Inc
00:50:C2:1A:F0:00/36	PESA	PESA Inc.
00:50:C2:1B:00:00/36	BLANKOMA	BLANKOM Antennentechnik GmbH
00:50:C2:1B:10:00/36	AxesTech	Axes Technologies
00:50:C2:1B:20:00/36	SIGOSSys	SIGOS Systemintegration GmbH
00:50:C2:1B:30:00/36	DspDesig	Dsp Design
00:50:C2:1B:40:00/36	DSPGroup	DSP Group Inc.
00:50:C2:1B:50:00/36	ThraneTh	Thrane & Thrane A/S
00:50:C2:1B:60:00/36	DTS	DTS, Inc.
00:50:C2:1B:70:00/36	MosChipU	MosChip USA
00:50:C2:1B:80:00/36	Electron	Electronic Systems Development
00:50:C2:1B:90:00/36	EmComTec	EmCom Technology Inc.
00:50:C2:1B:A0:00/36	Interzea	Interzeag Ag
00:50:C2:1B:B0:00/36	EmailMet	Email Metering
00:50:C2:1B:C0:00/36	DINECInt	DINEC International
00:50:C2:1B:D0:00/36	AIOI	AIOI Systems Co., Ltd.
00:50:C2:1B:E0:00/36	SediaEle	Sedia Electronics
00:50:C2:1B:F0:00/36	Internat	International Test & Engineering Services Co.,Ltd.
00:50:C2:1C:00:00/36	WillMoni	WillMonius Inc.
00:50:C2:1C:10:00/36	Infiniti	InfinitiNetworks Inc.
00:50:C2:1C:20:00/36	Weltroni	Weltronics Corp.
